Player,Competition,Date,Opponent,Rating
Raphinha,La Liga,2024-10-26,Real Madrid,8.4
Raphinha,La Liga,2024-10-20,Sevilla,8.7
Raphinha,La Liga,2024-10-06,Deportivo Alavés,8.3
Raphinha,La Liga,2024-09-28,Osasuna,7.0
Raphinha,La Liga,2024-09-25,Getafe,6.8
Raphinha,La Liga,2024-09-22,Villarreal,8.6
Raphinha,La Liga,2024-09-15,Girona FC,7.6
Raphinha,La Liga,2024-08-31,Real Valladolid,10.0
Raphinha,La Liga,2024-08-27,Rayo Vallecano,7.2
Raphinha,La Liga,2024-08-24,Athletic Club,8.6
Raphinha,La Liga,2024-08-17,Valencia,8.0
Raphinha,Champions League,2025-05-06,Inter,7.8
Raphinha,Champions League,2025-04-30,Inter,7.9
Raphinha,Champions League,2025-04-15,Borussia Dortmund,6.6
Raphinha,Champions League,2025-04-09,Borussia Dortmund,8.9
Raphinha,Champions League,2025-03-11,Benfica,9.0
Raphinha,Champions League,2025-03-05,Benfica,7.9
Raphinha,Champions League,2025-01-29,Atalanta,8.8
Raphinha,Champions League,2025-01-21,Benfica,8.7
Raphinha,Champions League,2024-12-11,Borussia Dortmund,7.6
Raphinha,Champions League,2024-11-26,Stade Brestois,8.3
Raphinha,Champions League,2024-11-06,FK Crvena zvezda,8.8
Raphinha,Champions League,2024-10-23,FC Bayern München,9.2
Raphinha,Champions League,2024-10-01,Young Boys,9.5
Raphinha,Champions League,2024-09-19,AS Monaco,6.4
Raphinha,Copa del Rey,2025-04-26,Real Madrid,7.9
Raphinha,Copa del Rey,2025-04-02,Atlético Madrid,7.4
Raphinha,Copa del Rey,2025-02-25,Atlético Madrid,9.0
Raphinha,Copa del Rey,2025-02-06,Valencia,7.6
Raphinha,Copa del Rey,2025-01-15,Real Betis,7.3
Raphinha,Supercopa,2025-01-12,Real Madrid,9.0
Raphinha,Supercopa,2025-01-08,Athletic Club,6.8
